Frame	Time	uav X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		6D X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
53	5.20000	101.87104	14.49137	911.45677	0.95754	6.48460	2.38963	0.36895	0.99274	0.04357	-0.11213	-0.04143	0.99891	0.02141	0.11294	-0.01660	0.99346		101.87104	14.49137	911.45677	0.97181	6.46675	2.37688	0.41605	0.99278	0.04338	-0.11181	-0.04121	0.99892	0.02162	0.11263	-0.01685	0.99349	
54	5.30000	97.15451	16.33609	940.31676	1.18405	5.37874	2.15195	0.19146	0.99489	0.03948	-0.09288	-0.03738	0.99901	0.02417	0.09374	-0.02057	0.99538		97.15451	16.33609	940.31676	1.19820	5.36083	2.13951	0.21902	0.99493	0.03928	-0.09256	-0.03717	0.99901	0.02438	0.09343	-0.02082	0.99541	
55	5.40000	92.56557	17.80914	966.88427	0.51580	5.02799	2.99276	0.47977	0.99479	0.05300	-0.08705	-0.05201	0.99855	0.01357	0.08764	-0.00897	0.99611		92.56557	17.80914	966.88427	0.53023	5.01029	2.98037	0.52451	0.99483	0.05280	-0.08673	-0.05180	0.99856	0.01378	0.08733	-0.00922	0.99614	
56	5.50000	86.16928	12.62591	985.38165	-0.73066	4.17189	3.02802	0.33918	0.99596	0.05189	-0.07332	-0.05268	0.99857	-0.00889	0.07275	0.01272	0.99727		86.16928	12.62591	985.38165	-0.71624	4.15419	3.01586	0.38742	0.99599	0.05170	-0.07299	-0.05247	0.99858	-0.00867	0.07244	0.01247	0.99729	
57	5.60000	86.18839	5.54802	1001.88645	-2.04198	3.27584	2.61661	0.42753	0.99733	0.04359	-0.05867	-0.04558	0.99842	-0.03299	0.05714	0.03557	0.99773		86.18839	5.54802	1001.88645	-2.02775	3.25806	2.60471	0.40916	0.99735	0.04341	-0.05835	-0.04537	0.99843	-0.03277	0.05683	0.03533	0.99776	
58	5.70000	88.66584	0.83988	1020.08349	-2.18019	1.75407	2.15522	0.33248	0.99882	0.03642	-0.03200	-0.03759	0.99861	-0.03687	0.03061	0.03802	0.99881		88.66584	0.83988	1020.08349	-2.16610	1.73616	2.14368	0.34482	0.99884	0.03623	-0.03167	-0.03739	0.99863	-0.03664	0.03030	0.03778	0.99883	
59	5.80000	87.09999	-4.01192	1034.04306	-2.20920	0.12221	1.79909	0.55876	0.99950	0.03129	-0.00334	-0.03139	0.99877	-0.03846	0.00213	0.03855	0.99925		87.09999	-4.01192	1034.04306	-2.19525	0.10419	1.78798	0.55714	0.99951	0.03111	-0.00301	-0.03120	0.99878	-0.03823	0.00182	0.03830	0.99926	
60	5.90000	82.66675	-6.43914	1037.40797	-2.07279	-0.55810	2.34975	0.83096	0.99911	0.04132	0.00824	-0.04100	0.99849	-0.03654	-0.00974	0.03617	0.99930		82.66675	-6.43914	1037.40797	-2.05864	-0.57604	2.33883	0.84082	0.99912	0.04114	0.00857	-0.04081	0.99851	-0.03630	-0.01005	0.03592	0.99930	
61	6.00000	80.84344	-10.62469	1035.29736	-1.49624	0.29093	3.90771	0.54529	0.99766	0.06799	-0.00684	-0.06815	0.99734	-0.02570	0.00508	0.02611	0.99965		80.84344	-10.62469	1035.29736	-1.48158	0.27340	3.89656	0.58816	0.99768	0.06781	-0.00652	-0.06795	0.99736	-0.02547	0.00477	0.02586	0.99965	
62	6.10000	83.01474	-16.14577	1030.08198	-1.04272	1.83683	4.44355	0.55495	0.99648	0.07688	-0.03336	-0.07744	0.99687	-0.01566	0.03205	0.01819	0.99932		83.01474	-16.14577	1030.08198	-1.02788	1.81942	4.43200	0.59744	0.99651	0.07670	-0.03304	-0.07724	0.99689	-0.01543	0.03175	0.01793	0.99934	
63	6.20000	87.73386	-18.75177	1027.32629	-0.70562	4.36036	3.67902	0.41555	0.99505	0.06323	-0.07666	-0.06398	0.99792	-0.00741	0.07603	0.01228	0.99703		87.73386	-18.75177	1027.32629	-0.69100	4.34282	3.66679	0.46684	0.99509	0.06304	-0.07633	-0.06377	0.99794	-0.00719	0.07572	0.01203	0.99706	
64	6.30000	88.10070	-20.01733	1025.73000	-1.08966	5.29248	2.95883	0.38885	0.99441	0.04986	-0.09308	-0.05140	0.99858	-0.01423	0.09224	0.01894	0.99556		88.10070	-20.01733	1025.73000	-1.07524	5.27478	2.94638	0.46007	0.99445	0.04967	-0.09276	-0.05118	0.99859	-0.01402	0.09193	0.01869	0.99559	
65	6.40000	85.17253	-19.30537	1028.87319	-1.39528	4.46371	3.03543	0.42595	0.99557	0.05105	-0.07898	-0.05279	0.99840	-0.02020	0.07783	0.02428	0.99667		85.17253	-19.30537	1028.87319	-1.38085	4.44602	3.02319	0.49392	0.99560	0.05086	-0.07866	-0.05258	0.99842	-0.01998	0.07752	0.02403	0.99670	
66	6.50000	86.12366	-16.51494	1043.15402	-2.24691	4.64333	3.40320	0.43737	0.99496	0.05615	-0.08308	-0.05917	0.99766	-0.03433	0.08095	0.03908	0.99595		86.12366	-16.51494	1043.15402	-2.23237	4.62571	3.39092	0.47406	0.99500	0.05597	-0.08275	-0.05896	0.99768	-0.03412	0.08065	0.03883	0.99599	
67	6.60000	91.99234	-15.38389	1067.35514	-2.93886	4.65478	4.23130	0.45672	0.99399	0.06954	-0.08461	-0.07354	0.99627	-0.04515	0.08115	0.05110	0.99539		91.99234	-15.38389	1067.35514	-2.92407	4.63737	4.21902	0.50321	0.99403	0.06936	-0.08428	-0.07333	0.99630	-0.04493	0.08085	0.05085	0.99543	
68	6.70000	94.93188	-16.14338	1093.90442	-2.92356	2.96305	3.95512	0.64869	0.99628	0.06626	-0.05502	-0.06888	0.99650	-0.04732	0.05169	0.05094	0.99736		94.93188	-16.14338	1093.90442	-2.90891	2.94556	3.94331	0.66984	0.99631	0.06608	-0.05469	-0.06868	0.99653	-0.04710	0.05139	0.05068	0.99739	
